time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-04,65570.48,60509.31,64228.63,174.46,10967905.07,61840.5,direct,
2021-03-05,62891.37,59116.18,61840.5,102.15,6215073.91,61979.5,direct,
2021-03-06,62454.99,60340.63,61979.5,42.57,2617685.66,62006.53,direct,
2021-03-07,65221.69,62006.53,62006.53,59.76,3829634.32,64811.33,direct,
2021-03-08,66349.51,63165.39,64811.33,72.8,4707999.02,66349.5,direct,
2021-03-09,69485.77,65971.29,66349.5,135.64,9273857.22,69485.77,direct,
2021-03-10,72487.72,67457.24,69485.77,135.41,9530038.49,70820.77,direct,
2021-03-11,72732.24,68717.72,70820.77,127.11,9012378.63,72382.67,direct,
2021-03-12,72813.81,69255.22,72382.67,112.04,7966490.55,71371.94,direct,
2021-03-13,76370.65,70130.02,71371.94,132.19,9760795.39,75976.69,direct,
2021-03-14,76369.99,73648.33,75976.69,63.32,4760018.39,73960.61,direct,
2021-03-15,75436.2,68734.02,73960.61,154.46,11017295.6,69812.02,direct,
2021-03-16,70921.89,66910.64,69812.02,162.2,11191123.2,70921.89,direct,
2021-03-17,73020.37,67898.0,70921.89,72.92,5126067.97,73020.37,direct,
2021-03-18,74678.41,71519.93,73020.37,95.3,6946275.3,72238.91,direct,
2021-03-19,74386.34,70590.66,72238.91,67.78,4945592.1,72928.7,direct,
2021-03-20,74903.93,72601.12,72928.7,51.75,3810821.24,72777.19,direct,
2021-03-21,73379.78,69897.78,72777.19,56.44,4031273.11,71782.69,direct,
2021-03-22,72776.55,67531.26,71782.69,71.5,4994652.62,67966.93,direct,
2021-03-23,70236.87,66778.52,67966.93,80.43,5528065.5,68669.8,direct,
2021-03-24,71910.21,65459.39,68669.8,143.98,9960655.93,66116.66,direct,
2021-03-25,67037.35,63193.99,66116.66,147.95,9655200.76,65169.99,direct,
2021-03-26,69466.61,64993.48,65169.99,99.28,6679755.39,69364.1,direct,
2021-03-27,71174.8,67808.12,69364.1,49.71,3455493.48,70425.34,direct,
2021-03-28,71487.21,68997.44,70425.34,49.32,3474851.26,70402.2,direct,
2021-03-29,73430.07,69421.44,70402.2,88.28,6376026.26,72516.8,direct,
2021-03-30,74716.74,71888.49,72516.8,75.18,5541035.52,74107.56,direct,
2021-03-31,75241.87,71856.58,74107.56,72.26,5348373.3,73927.46,direct,
2021-04-01,74664.36,72984.81,73927.46,49.82,3682977.28,73701.85,direct,
